City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Longyearbyen,SJ,2022-10-06 07:03:14,78.2186,15.6401,39.04,81,75,13.8
278,Vila Franca Do Campo,PT,2022-10-06 07:04:19,37.7167,-25.4333,69.19,87,96,8.23
279,Moose Factory,CA,2022-10-06 07:04:20,51.2585,-80.6094,40.98,93,100,9.22
280,Butembo,CD,2022-10-06 07:00:22,0.15,29.2833,68.41,68,74,1.1
281,Port-Gentil,GA,2022-10-06 07:01:05,-0.7193,8.7815,78.76,89,75,9.22
282,Kandi,BJ,2022-10-06 07:04:21,11.1342,2.9386,75.15,87,100,3.78
283,Omsukchan,RU,2022-10-06 07:04:21,62.5333,155.8,13.89,87,100,16.58
284,Mendi,PG,2022-10-06 07:04:22,-6.1761,143.6513,61.61,96,100,1.88
285,Korla,CN,2022-10-06 07:04:23,41.7597,86.1469,66.06,22,0,10.69
286,Buchanan,LR,2022-10-06 07:04:23,5.8808,-10.0467,75.2,89,97,1.66
287,Kopavogur,IS,2022-10-06 07:04:24,64.1123,-21.913,41.22,77,100,4.32
288,Nuuk,GL,2022-10-06 07:04:24,64.1835,-51.7216,34.41,86,100,11.5
289,Ubinskoye,RU,2022-10-06 07:04:25,55.3068,79.6802,44.33,91,100,4.65
290,Reconquista,AR,2022-10-06 07:04:25,-29.15,-59.65,63.46,94,100,6.51
291,Lucera,IT,2022-10-06 07:04:26,41.5082,15.3351,58.05,53,100,2.59
292,Tabuk,PH,2022-10-06 07:04:26,17.4189,121.4443,87.12,65,51,4.14
